분반,학년,학번,프로그랭,산업인공,과제1,과제2,과제3,과제4,과제5,과제1추가,과제1_total,순위,중1,중2,중3,중4,중5,중6,중7,중8,중9,중10,중11,중12,중13,중14,중15,중16,total,순위
1반,3,1818001,,,20,20,20,20,20,,100,1,0,4,4,4,4,0,4,4,4,4,10,8,7,5,15,6,83,10
1반,4,2113401,,2113401,20,20,15,20,20,,95,23,4,4,4,4,0,0,4,0,2,2,9,2,8,0,7,0,50,39
1반,3,1818055,,,20,20,20,20,20,,100,1,0,4,0,4,0,0,4,0,2,4,1,2,10,0,10,8,49,40
1반,3,1718056,,,15,20,20,15,20,,90,33,4,4,4,4,4,0,4,4,4,4,10,9,10,5,15,8,93,2
1반,3,2018057,,,20,20,20,5,5,,70,51,4,4,4,4,4,0,4,4,0,0,0,4,5,0,15,4,56,33
1반,3,1818013,,,20,20,15,20,20,,95,23,4,4,4,4,4,0,4,0,0,0,9,8,8,0,11,5,65,29
1반,3,2018013,,,15,20,20,15,20,,90,33,4,4,4,4,4,0,4,4,4,4,2,10,10,0,15,8,81,12
1반,4,1654037,,,20,20,20,20,20,,100,1,0,4,4,4,0,0,4,0,2,4,9,4,3,0,9,4,51,37
1반,4,1413011,,1413011,15,20,15,15,15,,80,45,4,0,0,4,0,0,0,4,4,4,3,2,5,0,15,6,51,37
1반,4,1718016,,1718016,15,20,15,15,20,,85,39,0,4,4,4,0,0,4,0,0,4,9,4,6,0,15,2,56,33
1반,4,1718064,,1718064,20,20,20,20,20,,100,1,0,4,4,4,4,0,4,4,4,2,9,5,9,0,15,7,75,16
1반,3,2018065,,,15,20,20,15,15,,85,39,0,4,0,4,0,0,0,4,0,0,4,3,4,0,3,2,28,52
1반,3,1718021,,,20,20,10,20,20,,90,33,0,4,4,4,4,0,4,0,2,4,4,0,10,0,10,6,56,33
1반,3,1818023,,,20,20,20,20,20,,100,1,4,4,4,4,0,0,4,4,4,4,10,2,8,3,15,4,74,17
1반,3,2018067,,,20,20,20,20,15,,95,23,0,4,4,4,0,0,4,0,2,0,0,6,7,0,10,4,45,42
